"","location","FirsDate","LastDate","hosp_patients","aged_70_older","gdp_per_capita","human_development_index"
"1","Austria","2020-04-01","2020-11-30",159780,13.748,45436.686,0.922
"2","Belgium","2020-03-15","2020-11-30",551058,12.849,42658.576,0.931
"3","Bulgaria","2020-04-06","2020-11-30",282469,13.272,18563.307,0.816
"4","Canada","2020-03-09","2020-11-30",305442,10.797,44017.591,0.929
"5","Croatia","2020-04-15","2020-11-30",96206,13.053,22669.797,0.851
"6","Cyprus","2020-03-09","2020-11-30",5336,8.563,32415.132,0.887
"7","Czechia","2020-03-01","2020-11-30",353796,11.58,32605.906,0.9
"8","Denmark","2020-04-02","2020-11-30",30162,12.325,46682.515,0.94
"9","Estonia","2020-01-06","2020-11-30",11565,13.491,29481.252,0.892
"10","Finland","2020-03-21","2020-11-30",14274,13.264,40585.721,0.938
"11","France","2020-01-24","2020-11-30",3788274,13.079,38605.671,0.901
"12","Hungary","2020-03-03","2020-11-30",326452,11.976,26777.561,0.854
"13","Iceland","2020-02-28","2020-11-30",3416,9.207,46482.958,0.949
"14","Ireland","2020-03-07","2020-11-30",63384,8.678,67335.293,0.955
"15","Israel","2020-03-02","2020-11-30",192271,7.359,33132.32,0.919
"16","Italy","2020-02-24","2020-11-30",3194970,16.24,35220.084,0.892
"17","Latvia","2020-03-30","2020-11-30",15530,14.136,25063.846,0.866
"18","Lithuania","2020-10-06","2020-11-30",9629,13.778,29524.265,0.882
"19","Luxembourg","2020-03-16","2020-11-30",20374,9.842,94277.965,0.916
"20","Malaysia","2020-03-24","2020-11-30",188072,3.407,26808.164,0.81
"21","Malta","2020-03-05","2020-11-30",4216,11.324,36513.323,0.895
"22","Netherlands","2020-02-27","2020-11-30",244482,11.881,48472.545,0.944
"23","Norway","2020-03-08","2020-11-30",16397,10.813,64800.057,0.957
"24","Poland","2020-04-08","2020-11-30",1225110,10.202,27216.445,0.88
"25","Portugal","2020-02-26","2020-11-30",232695,14.924,27936.896,0.864
"26","Slovakia","2020-04-24","2020-11-30",68974,9.167,30155.152,0.86
"27","Slovenia","2020-03-10","2020-11-30",52606,12.93,31400.84,0.917
"28","Spain","2020-08-20","2020-11-30",932331,13.799,34272.36,0.904
"29","Sweden","2020-02-27","2020-11-30",245013,13.433,46949.283,0.945
"30","Switzerland","2020-03-30","2020-11-30",183498,12.644,57410.166,0.955
"31","United Kingdom","2020-03-27","2020-11-30",1902222,12.527,39753.244,0.932
"32","United States","2020-07-15","2020-11-30",5984109,9.732,54225.446,0.926
